	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
21926	63	Revised BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable8.R0C0	5	AS JCommTable8.R0C0	2	Single-KC	63	9.43121124998086e-16
21927	64	Revised BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R1C0	15	AS JCommTable6.R1C0	4	Single-KC	64	0.5195253072389622
21928	65	Revised BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	JCommTable6.R0C0	18	AS JCommTable6.R0C0	6	Single-KC	65	0.710611941191017
21929	66	Revised BKT Controller(1)	AS 1_7_plus_3_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	11	AS done	3	Single-KC	66	0.851679838655157
21930	67	Revised BKT Controller(1)	M 5_6_times_1_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R0C0	19	M  JCommTable6.R0C0	6	Single-KC	67	0.5528052145479545
21931	68	Revised BKT Controller(1)	M 5_6_times_1_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R1C0	16	M  JCommTable6.R1C0	5	Single-KC	68	0.5962260578699892
21932	69	Revised BKT Controller(1)	M 5_6_times_1_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	12	M  done	7	Single-KC	69	0.9243115329638528
21933	70	Revised BKT Controller(1)	AS 2_9_plus_3_9	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	JCommTable6.R1C0	17	AS JCommTable6.R1C0	5	Single-KC	70	0.6839270410384444
21934	71	Revised BKT Controller(1)	AS 2_9_plus_3_9	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	JCommTable6.R0C0	20	AS JCommTable6.R0C0	7	Single-KC	71	0.8159642977581446
21935	72	Revised BKT Controller(1)	AS 2_9_plus_3_9	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	13	AS done	4	Single-KC	72	0.9383043752105873
