	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
5417	50	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	0	Single-KC	51	JCommTable6.R1C0	9	AD JCommTable6.R1C0	5	0.4496682017649891
5418	51	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	52	JCommTable8.R0C0	7	AD JCommTable8.R0C0	5	0.765794587729233
5419	52	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	53	JCommTable4.R1C0	6	AD JCommTable4.R1C0	5	0.7404715434895676
5420	53	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	54	JCommTable4.R0C0	6	AD JCommTable4.R0C0	5	0.5837995594213713
5421	54	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	1	Single-KC	55	JCommTable5.R0C0	5	AD JCommTable5.R0C0	5	0.4613193361957562
5422	55	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	56	JCommTable6.R0C0	9	AD JCommTable6.R0C0	5	0.5460318469389457
5423	56	BKT Controller_human(1)	AD 9_2_plus_4_7	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	57	JCommTable5.R1C0	7	AD JCommTable5.R1C0	5	0.8251879708770113
5424	57	BKT Controller_human(1)	AD 9_2_plus_4_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	58	done	9	AD done	5	0.9151950451021116
5425	58	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	59	JCommTable8.R0C0	8	AD JCommTable8.R0C0	6	0.7710912630350119
5426	59	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	60	JCommTable4.R1C0	7	AD JCommTable4.R1C0	6	0.8107224709483575
5427	60	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	Single-KC	61	JCommTable4.R0C0	7	AD JCommTable4.R0C0	6	0.6615020044429374
5428	61	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	Single-KC	62	JCommTable6.R1C0	10	AD JCommTable6.R1C0	6	0.4601931325200157
5429	62	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	63	JCommTable5.R1C0	8	AD JCommTable5.R1C0	6	0.9062041044411051
5430	63	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	64	JCommTable5.R0C0	6	AD JCommTable5.R0C0	6	0.5378324315863775
5431	64	BKT Controller_human(1)	AD 3_9_plus_3_7	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	65	JCommTable6.R0C0	10	AD JCommTable6.R0C0	6	0.5576506498302909
5432	65	BKT Controller_human(1)	AD 3_9_plus_3_7	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	66	done	10	AD done	6	0.9563133940331751
