	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
55	55	Default BKT Controller(1)	AS 6_4_plus_5_4	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AS JCommTable6.R1C0	2	JCommTable6.R1C0	10	Single-KC	56	0.6320933678389286
56	56	Default BKT Controller(1)	AS 6_4_plus_5_4	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	AS JCommTable6.R0C0	2	JCommTable6.R0C0	10	Single-KC	57	0.6349734163117421
57	57	Default BKT Controller(1)	AS 6_4_plus_5_4	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AS done	2	done	10	Single-KC	58	0.8648768448616571
58	58	Default BKT Controller(1)	AS 5_5_plus_8_5	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AS JCommTable6.R1C0	3	JCommTable6.R1C0	11	Single-KC	59	0.6393028096254857
59	59	Default BKT Controller(1)	AS 5_5_plus_8_5	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	AS JCommTable8.R0C0	3	JCommTable8.R0C0	9	Single-KC	60	3.7875532087732156e-23
60	60	Default BKT Controller(1)	AS 5_5_plus_8_5	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AS JCommTable6.R0C0	3	JCommTable6.R0C0	11	Single-KC	61	0.6510501071607813
61	61	Default BKT Controller(1)	AS 5_5_plus_8_5	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AS done	3	done	11	Single-KC	62	0.9488068874017157
62	62	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	AD JCommTable6.R1C0	6	JCommTable6.R1C0	12	Single-KC	63	0.5024730801851393
63	63	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AD JCommTable8.R0C0	6	JCommTable8.R0C0	10	Single-KC	64	0.8451370648308825
64	64	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AD JCommTable4.R1C0	6	JCommTable4.R1C0	6	Single-KC	65	0.8494624274784136
